name,isin,category,sub_category,fund_house
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,Debt,Banking and PSU Debt,Aditya Mutual Fund
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,Debt,Banking and PSU Debt,Aditya Mutual Fund
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,Debt,Banking and PSU Debt,Aditya Mutual Fund
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,Debt,Banking and PSU Debt,Axis Mutual Fund
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,Debt,Banking and PSU Debt,Axis Mutual Fund
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,Debt,Banking and PSU Debt,Bajaj Mutual Fund
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,Debt,Banking and PSU Debt,Bajaj Mutual Fund
Bandhan Banking and PSU Fund - Direct Growth,INF194K015G8,Debt,Banking and PSU Debt,Bandhan Mutual Fund
Bandhan Banking and PSU Fund - Regular Growth,INF194K01SN6,Debt,Banking and PSU Debt,Bandhan Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,INF955L01KC8,Debt,Banking and PSU Debt,Baroda Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,INF955L01JX6,Debt,Banking and PSU Debt,Baroda Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,Debt,Banking and PSU Debt,Canara Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,Debt,Banking and PSU Debt,Canara Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,Debt,Banking and PSU Debt,DSP Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,Debt,Banking and PSU Debt,DSP Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,Debt,Banking and PSU Debt,Edelweiss Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,Debt,Banking and PSU Debt,Edelweiss Mutual Fund
Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,Debt,Banking and PSU Debt,Franklin Mutual Fund
Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,Debt,Banking and PSU Debt,Franklin Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,Debt,Banking and PSU Debt,HDFC Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,Debt,Banking and PSU Debt,HDFC Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,Debt,Banking and PSU Debt,HSBC Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Growth,INF677K01AE7,Debt,Banking and PSU Debt,HSBC Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,INF109K010A6,Debt,Banking and PSU Debt,ICICI Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,Debt,Banking and PSU Debt,ICICI Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,Debt,Banking and PSU Debt,ICICI Mutual Fund
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,INF205K01KT4,Debt,Banking and PSU Debt,Invesco Mutual Fund
Invesco India Banking and PSU Fund - Growth Option,INF205K01JV2,Debt,Banking and PSU Debt,Invesco Mutual Fund
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,Debt,Banking and PSU Debt,ITI Mutual Fund
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,Debt,Banking and PSU Debt,ITI Mutual Fund
Kotak Banking and PSU Debt - Growth,INF174K01FO3,Debt,Banking and PSU Debt,Kotak Mutual Fund
